SampleID,Land_Use,Date,Season,Land_Season,Ecoli_MPN,LOG_Ecoli,Coliform_MPN,LOG_Coliform,pH,Conductivity,TDS,Temperature,DissolvedO2,Turbidity,Hardness
CP-W7,Cattle_Pasture,1/28/19,Dry,Cattle_Pasture_Dry,320,2.506505032,12262,4.088596728,5.2,0.43,130,25,,4.62,25
CP-W7,Cattle_Pasture,2/11/19,Dry,Cattle_Pasture_Dry,126,2.103803721,3836,3.583991799,6.1,0.16,79,26,4.8,0.48,
CP-W7,Cattle_Pasture,2/25/19,Dry,Cattle_Pasture_Dry,20,1.322219295,31062,4.492243397,7.1,0.29,88,24.1,,1.33,
CP-W7,Cattle_Pasture,3/19/19,Dry,Cattle_Pasture_Dry,240,2.382017043,22398,4.35022863,7,0.4,126,26.4,4.34,1.56,25
CP-W7,Cattle_Pasture,4/4/19,Dry,Cattle_Pasture_Dry,62,1.799340549,13734,4.137828664,6.7,0.47,84,26.8,,2.15,25
CP-W7,Cattle_Pasture,4/29/19,Dry,Cattle_Pasture_Dry,358,2.555094449,12976,4.113174305,7,0.48,112,28,,2.32,
CP-W7,Cattle_Pasture,5/20/19,Wet,Cattle_Pasture_Wet,124,2.096910013,48400,4.684854335,3.2,0.28,126,28.9,6.31,11.01,50
CP-W7,Cattle_Pasture,6/3/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,2422,3.384353414,3.5,0.2,105,31.2,7.82,2.6,25
CP-W7,Cattle_Pasture,6/17/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,3912,3.592509848,4.5,0.35,126,26.2,6.3,0.21,25
CP-W7,Cattle_Pasture,7/9/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,3720,3.57065967,4.1,0.09,72,26.8,6.71,0.03,25
CP-W7,Cattle_Pasture,7/23/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,2446,3.388633969,4,0.15,116,27.5,7.52,0.17,25
CP-W7,Cattle_Pasture,8/30/19,Wet,Cattle_Pasture_Wet,20,1.322219295,1602,3.204933522,4.8,0.08,117,26.7,7.4,0.16,25
CP-W7,Cattle_Pasture,9/11/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,5226,3.7182525,4.3,0.09,65,28,6.3,0.31,25
CP-W1,Cattle_Pasture,1/14/19,Dry,Cattle_Pasture_Dry,20,1.322219295,9222,3.964872209,6.4,0.14,68,,7.53,19.5,25
CP-W1,Cattle_Pasture,2/6/19,Dry,Cattle_Pasture_Dry,60,1.785329835,10950,4.039453779,5.4,0.13,61,25.1,,0.87,
CP-W1,Cattle_Pasture,2/19/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,6510,3.813647695,7.9,0.12,60,25.6,7.17,2.03,50
CP-W1,Cattle_Pasture,3/12/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,12262,4.088596728,6.1,0.62,122,26,4.34,4.11,25
CP-W1,Cattle_Pasture,3/26/19,Dry,Cattle_Pasture_Dry,62,1.799340549,8212,3.914501823,6.1,0.62,65,26.4,4.43,4.59,50
CP-W1,Cattle_Pasture,4/9/19,Dry,Cattle_Pasture_Dry,172,2.238046103,10344,4.014730495,7.3,0.14,105,28,7.58,2.62,50
CP-W1,Cattle_Pasture,4/23/19,Dry,Cattle_Pasture_Dry,20,1.322219295,16328,4.212959589,7,0.18,122,26.1,,4.52,50
CP-W1,Cattle_Pasture,5/7/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,914,2.961421094,7.1,0.13,92,27.6,4.7,3.68,50
CP-W1,Cattle_Pasture,5/27/19,Wet,Cattle_Pasture_Wet,446.622,2.650911423,48400,4.684854335,7,0.16,102,27.2,4.8,3.93,25
CP-W1,Cattle_Pasture,6/11/19,Wet,Cattle_Pasture_Wet,1764,3.24674471,39726,4.59908577,6.9,0.12,94,26.7,5.4,4.08,25
CP-W1,Cattle_Pasture,6/25/19,Wet,Cattle_Pasture_Wet,316,2.501059262,48400,4.684854335,7,0.15,88,27.3,6.35,2.13,25
CP-W1,Cattle_Pasture,7/16/19,Wet,Cattle_Pasture_Wet,62,1.799340549,22398,4.35022863,7,0.12,70,27,5.02,6.37,25
CP-W1,Cattle_Pasture,8/27/19,Wet,Cattle_Pasture_Wet,82,1.919078092,22382,4.349918295,6.1,0.09,65,27.1,6.23,2.03,25
CP-W1,Cattle_Pasture,9/4/19,Wet,Cattle_Pasture_Wet,5974,3.77633791,48400,4.684854335,6.4,0.06,75,26.4,6.25,0.45,25
CP-W2,Cattle_Pasture,1/31/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,48392,4.684782546,6.7,0.16,77,25.1,,2.56,
CP-W2,Cattle_Pasture,2/12/19,Dry,Cattle_Pasture_Dry,62,1.799340549,4286,3.632153484,8.6,0.15,70,25.9,6.93,5.12,
CP-W2,Cattle_Pasture,2/26/19,Dry,Cattle_Pasture_Dry,1040,3.01745073,5510,3.741230411,7,0.19,83,25,,1.19,50
CP-W2,Cattle_Pasture,3/18/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,2900,3.462547729,5.8,0.16,82,26,6.28,1.37,50
CP-W2,Cattle_Pasture,4/2/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,17328,4.238773502,6.6,0.43,98,26,6.05,0.41,50
CP-W2,Cattle_Pasture,4/16/19,Dry,Cattle_Pasture_Dry,40,1.612783857,5510,3.741230411,6.1,0.12,56,26.4,,2.25,50
CP-W2,Cattle_Pasture,4/30/19,Dry,Cattle_Pasture_Dry,148,2.173186268,2666,3.426023016,6,0.25,116,26.2,,0.38,50
CP-W2,Cattle_Pasture,5/21/19,Wet,Cattle_Pasture_Wet,82,1.919078092,14540,4.162594274,6.2,0.24,82,26,4.93,5.71,50
CP-W2,Cattle_Pasture,6/4/19,Wet,Cattle_Pasture_Wet,394,2.596597096,16328,4.212959589,6.6,0.17,78,29,5.98,5.42,25
CP-W2,Cattle_Pasture,7/3/19,Wet,Cattle_Pasture_Wet,62,1.799340549,15402,4.187605315,6.8,0.16,112,26.2,3.86,0.66,50
CP-W2,Cattle_Pasture,7/22/19,Wet,Cattle_Pasture_Wet,2518,3.401228167,12262,4.088596728,7.1,0.16,110,26.5,5.32,6.06,50
CP-W2,Cattle_Pasture,8/26/19,Wet,Cattle_Pasture_Wet,40,1.612783857,1314,3.118925753,6.4,0.09,65,27.1,4.7,0.86,25
CP-W2,Cattle_Pasture,9/3/19,Wet,Cattle_Pasture_Wet,40,1.612783857,5226,3.7182525,6,0.09,70,27.3,7.01,1.26,50
CP-W3,Cattle_Pasture,1/7/19,Dry,Cattle_Pasture_Dry,82,1.919078092,22398,4.35022863,5.8,0.2,62,32,,1.38,25
CP-W3,Cattle_Pasture,2/5/19,Dry,Cattle_Pasture_Dry,20,1.322219295,17328,4.238773502,6.5,0.08,41,24.5,,1.31,
CP-W3,Cattle_Pasture,2/18/19,Dry,Cattle_Pasture_Dry,104,2.021189299,15402,4.187605315,7.4,0.29,88,24.9,4.2,3.66,25
CP-W3,Cattle_Pasture,3/11/19,Dry,Cattle_Pasture_Dry,62,1.799340549,34658,4.539816028,6.5,0.66,139,26.5,5.45,25,0.7
CP-W3,Cattle_Pasture,3/26/19,Dry,Cattle_Pasture_Dry,238,2.378397901,15402,4.187605315,6,0.35,140,26.2,5.95,6.27,25
CP-W3,Cattle_Pasture,4/8/19,Dry,Cattle_Pasture_Dry,374,2.574031268,18416,4.265218888,6.8,0.14,68,28,6.69,1.51,25
CP-W3,Cattle_Pasture,4/22/19,Dry,Cattle_Pasture_Dry,320,2.506505032,13734,4.137828664,4.5,0.07,36,27.3,,3.36,25
CP-W3,Cattle_Pasture,5/6/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,48400,4.684854335,5,0.23,70,26,,5.08,25
CP-W3,Cattle_Pasture,5/28/19,Wet,Cattle_Pasture_Wet,786,2.895974732,31062,4.492243397,6.6,0.11,56,25.3,5.67,2.61,25
CP-W3,Cattle_Pasture,6/11/19,Wet,Cattle_Pasture_Wet,19608,4.292455447,82,1.919078092,6.9,0.13,52,25.5,5.84,1.88,25
CP-W3,Cattle_Pasture,6/24/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,10950,4.039453779,5.4,0.16,96,29.4,6.61,2.54,25
CP-W3,Cattle_Pasture,7/15/19,Wet,Cattle_Pasture_Wet,452,2.656098202,25994,4.414889822,5.9,0.06,50,27.1,7.24,2.65,25
CP-W3,Cattle_Pasture,7/29/19,Wet,Cattle_Pasture_Wet,654,2.8162413,24066,4.381421958,6,0.04,36,25.7,6.08,3.85,25
CP-W3,Cattle_Pasture,8/27/19,Wet,Cattle_Pasture_Wet,532,2.726727209,34658,4.539816028,6.9,0.12,48,26.9,6.57,2.87,25
CP-W3,Cattle_Pasture,9/10/19,Wet,Cattle_Pasture_Wet,218,2.340444115,16328,4.212959589,6.4,0.09,44,27.3,6.48,1.67,25
CP-W4,Cattle_Pasture,1/7/19,Dry,Cattle_Pasture_Dry,40,1.612783857,28272,4.451371893,5.3,0.09,39,29.2,,10.89,0
CP-W4,Cattle_Pasture,2/5/19,Dry,Cattle_Pasture_Dry,20,1.322219295,48400,4.684854335,4.7,0.06,28,24.4,,33.89,
CP-W4,Cattle_Pasture,2/18/19,Dry,Cattle_Pasture_Dry,82,1.919078092,18416,4.265218888,8,0.27,96,24.8,3.98,33.65,25
CP-W4,Cattle_Pasture,3/11/19,Dry,Cattle_Pasture_Dry,172,2.238046103,22398,4.35022863,6.4,0.45,96,25.6,4.34,25,23.6
CP-W4,Cattle_Pasture,3/26/19,Dry,Cattle_Pasture_Dry,60,1.785329835,622,2.794488047,6.8,0.65,85,26.2,4.22,12.78,25
CP-W4,Cattle_Pasture,4/8/19,Dry,Cattle_Pasture_Dry,20,1.322219295,8704,3.939768775,6.2,0.12,51,29,5.11,40.48,25
CP-W4,Cattle_Pasture,4/22/19,Dry,Cattle_Pasture_Dry,758,2.880241776,22398,4.35022863,6.4,0.1,51,27.5,,33.37,25
CP-W4,Cattle_Pasture,5/6/19,Dry,Cattle_Pasture_Dry,290,2.463892989,17328,4.238773502,6,0.4,86,26.1,,62.47,25
CP-W4,Cattle_Pasture,5/28/19,Wet,Cattle_Pasture_Wet,40,1.612783857,31062,4.492243397,5.2,0.04,69,26,1.22,17.02,25
CP-W4,Cattle_Pasture,6/11/19,Wet,Cattle_Pasture_Wet,316,2.501059262,4822,3.683317262,5.4,0.09,42,25.7,3.13,9.54,25
CP-W4,Cattle_Pasture,6/24/19,Wet,Cattle_Pasture_Wet,144,2.161368002,6896,3.838660226,6.2,0.12,59,29.1,7.33,8.58,50
CP-W4,Cattle_Pasture,7/15/19,Wet,Cattle_Pasture_Wet,3564,3.552059534,48400,4.684854335,5.4,0.02,21,26.4,5.85,6.82,25
CP-W4,Cattle_Pasture,7/29/19,Wet,Cattle_Pasture_Wet,194,2.290034611,18416,4.265218888,5.7,0.02,37,25.6,6.13,3.26,25
CP-W4,Cattle_Pasture,8/27/19,Wet,Cattle_Pasture_Wet,244,2.389166084,20924,4.320665467,6.5,0.04,24,27.1,6.97,0.16,25
CP-W4,Cattle_Pasture,9/5/19,Wet,Cattle_Pasture_Wet,62,1.799340549,12262,4.088596728,6.1,0.02,25,27.4,7.23,4.33,25
CP-W5,Cattle_Pasture,1/14/19,Dry,Cattle_Pasture_Dry,20,1.322219295,48400,4.684854335,6.2,0.16,72,30.8,,4.16,25
CP-W5,Cattle_Pasture,2/5/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,22398,4.35022863,4.4,0.15,66,25.4,,9.38,
CP-W5,Cattle_Pasture,2/18/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,798,2.902546779,7.2,0.32,120,24.8,4.31,16.26,50
CP-W5,Cattle_Pasture,3/27/19,Dry,Cattle_Pasture_Dry,322,2.509202522,4718,3.673849977,6.4,0.36,170,26.2,4.51,10.98,
CP-W5,Cattle_Pasture,3/11/19,Dry,Cattle_Pasture_Dry,244,2.389166084,31062,4.492243397,6.9,0.27,97,26.5,3.58,50,4.38
CP-W5,Cattle_Pasture,4/8/19,Dry,Cattle_Pasture_Dry,170,2.23299611,7156,3.854731017,6.6,0.38,162,26.9,6.35,6.67,50
CP-W5,Cattle_Pasture,4/22/19,Dry,Cattle_Pasture_Dry,1368,3.136403448,25994,4.414889822,5.5,0.19,89,27.6,,,50
CP-W5,Cattle_Pasture,5/6/19,Dry,Cattle_Pasture_Dry,370,2.56937391,22398,4.35022863,6.5,0.35,178,25,,9.15,50
CP-W5,Cattle_Pasture,5/28/19,Wet,Cattle_Pasture_Wet,394,2.596597096,34658,4.539816028,6.3,0.27,62,25.4,4.87,12.73,50
CP-W5,Cattle_Pasture,6/10/19,Wet,Cattle_Pasture_Wet,126,2.103803721,24066,4.381421958,6,0.25,117,26.2,5.21,16.08,25
CP-W5,Cattle_Pasture,7/15/19,Wet,Cattle_Pasture_Wet,584,2.767155866,12588,4.099991234,6.3,0.04,65,27,6.95,2.73,50
CP-W5,Cattle_Pasture,7/29/19,Wet,Cattle_Pasture_Wet,40,1.612783857,10950,4.039453779,6.1,0.09,72,26.8,6.28,6.08,50
CP-W5,Cattle_Pasture,8/26/19,Wet,Cattle_Pasture_Wet,104,2.021189299,24066,4.381421958,6,0.08,54,27.2,4.8,5.92,25
CP-W5,Cattle_Pasture,9/10/19,Wet,Cattle_Pasture_Wet,20,1.322219295,9768,3.98985011,6.5,0.05,45,25.8,5.51,3.52,25
CP-W6,Cattle_Pasture,1/14/19,Dry,Cattle_Pasture_Dry,172,2.238046103,39726,4.59908577,6.5,0.1,40,31.6,,43.61,25
CP-W6,Cattle_Pasture,2/5/19,Dry,Cattle_Pasture_Dry,1126,3.051923916,48400,4.684854335,5.8,0.26,109,26,,115.8,
CP-W6,Cattle_Pasture,2/18/19,Dry,Cattle_Pasture_Dry,20,1.322219295,19608,4.292455447,8.6,0.19,96,25.3,7.02,33.65,25
CP-W6,Cattle_Pasture,2/27/19,Dry,Cattle_Pasture_Dry,104,2.021189299,5510,3.741230411,6.5,0.26,106,28.2,7.27,26.22,
CP-W6,Cattle_Pasture,3/11/19,Dry,Cattle_Pasture_Dry,62,1.799340549,19608,4.292455447,6.9,0.75,130,27.3,7.22,25,18.25
CP-W6,Cattle_Pasture,4/8/19,Dry,Cattle_Pasture_Dry,40,1.612783857,6510,3.813647695,6.6,0.29,105,28.7,6.64,8.39,50
CP-W6,Cattle_Pasture,4/22/19,Dry,Cattle_Pasture_Dry,82,1.919078092,2828,3.451632947,6.2,0.26,97,27.2,,2.18,50
CP-W6,Cattle_Pasture,5/6/19,Dry,Cattle_Pasture_Dry,292,2.46686762,6152,3.789086915,6.4,0.4,110,26.1,,5.9,50
CP-W6,Cattle_Pasture,5/28/19,Wet,Cattle_Pasture_Wet,20,1.322219295,9222,3.964872209,6.4,0.16,89,27.5,6.24,5.64,50
CP-W6,Cattle_Pasture,6/10/19,Wet,Cattle_Pasture_Wet,0.5,0.176091259,17328,4.238773502,6.2,0.2,94,26.1,6.22,2.79,25
CP-W6,Cattle_Pasture,7/16/19,Wet,Cattle_Pasture_Wet,126,2.103803721,48392,4.684782546,6.8,0.3,126,26.3,5.86,5.25,25
CP-W6,Cattle_Pasture,7/30/19,Wet,Cattle_Pasture_Wet,462,2.665580991,31062,4.492243397,6.9,0.12,75,26.7,7.02,4.32,50
CP-W6,Cattle_Pasture,8/14/19,Wet,Cattle_Pasture_Wet,60,1.785329835,3764,3.575764981,6.9,0.12,85,26.2,7.03,3.76,25
CP-W6,Cattle_Pasture,8/27/19,Wet,Cattle_Pasture_Wet,218,2.340444115,28272,4.451371893,6.8,0.12,80,27.1,6.94,1.59,25
CP-W6,Cattle_Pasture,9/10/19,Wet,Cattle_Pasture_Wet,40,1.612783857,10950,4.039453779,6.8,0.06,75,26.9,6.6,3.87,25
CP-AS,Cattle_Pasture,11/8/18,Wet,Cattle_Pasture_Wet,1434,3.156851901,48400,4.684854335,7,0.2,85,24.3,6.92,5.3,25
CP-AS,Cattle_Pasture,11/29/18,Wet,Cattle_Pasture_Wet,882,2.945960704,28272,4.451371893,7.2,0.2,150,25.9,6.67,13.69,50
CP-AS,Cattle_Pasture,12/12/18,Wet,Cattle_Pasture_Wet,402,2.605305046,31062,4.492243397,6.8,0.23,113,24.7,6.65,4.5,25
CP-AS,Cattle_Pasture,12/13/18,Dry,Cattle_Pasture_Dry,394,2.596597096,39726,4.59908577,7,0.21,98,24.7,,3.49,50
CP-AS,Cattle_Pasture,1/10/19,Dry,Cattle_Pasture_Dry,362,2.559906625,16328,4.212959589,7.5,0.25,152,25.3,,7.2,50
CP-AS,Cattle_Pasture,1/31/19,Dry,Cattle_Pasture_Dry,60,1.785329835,17328,4.238773502,7.5,0.11,88,24.1,5.01,5.26,
CP-AS,Cattle_Pasture,2/14/19,Dry,Cattle_Pasture_Dry,436,2.640481437,15402,4.187605315,7.2,0.14,106,24.8,,5.03,
CP-AS,Cattle_Pasture,2/28/19,Dry,Cattle_Pasture_Dry,40,1.612783857,10950,4.039453779,7.2,0.27,195,24.6,,21.93,50
CP-AS,Cattle_Pasture,3/14/19,Dry,Cattle_Pasture_Dry,82,1.919078092,14540,4.162594274,7.2,0.24,211,25.3,,22.35,50
CP-AS,Cattle_Pasture,3/28/19,Dry,Cattle_Pasture_Dry,82,1.919078092,5510,3.741230411,7.1,0.18,137,25.8,2.61,5.73,50
CP-AS,Cattle_Pasture,4/11/19,Dry,Cattle_Pasture_Dry,82,1.919078092,3194,3.504470862,6.7,0.12,84,24.7,2.98,3.61,50
CP-AS,Cattle_Pasture,4/25/19,Dry,Cattle_Pasture_Dry,244,2.389166084,4978,3.697142126,7.7,0.12,86,24.7,2.19,3.65,50
CP-AS,Cattle_Pasture,5/9/19,Dry,Cattle_Pasture_Dry,0.5,0.176091259,4196,3.622938969,6.2,0.23,102,26.5,5.34,32.35,50
CP-AS,Cattle_Pasture,5/30/19,Wet,Cattle_Pasture_Wet,104,2.021189299,13734,4.137828664,5.7,0.18,79,26.2,2.63,5.51,50
CP-AS,Cattle_Pasture,6/13/19,Wet,Cattle_Pasture_Wet,700,2.845718018,48400,4.684854335,6.4,0.19,82,25.7,3.2,7.32,25
CP-AS,Cattle_Pasture,6/27/19,Wet,Cattle_Pasture_Wet,1248,3.096562438,24066,4.381421958,6.4,0.25,165,25.5,3.8,17.12,50
CP-AS,Cattle_Pasture,7/12/19,Wet,Cattle_Pasture_Wet,2142,3.331022171,48400,4.684854335,6.8,0.14,113,26.7,6.59,143.7,25
CP-AS,Cattle_Pasture,7/25/19,Wet,Cattle_Pasture_Wet,270,2.432969291,39726,4.59908577,7,0.11,86,25.5,7.36,6.62,50
CP-AS,Cattle_Pasture,8/1/19,Wet,Cattle_Pasture_Wet,1300,3.114277297,48392,4.684782546,6.6,0.17,130,25.9,7.16,6.68,50
CP-AS,Cattle_Pasture,8/28/19,Wet,Cattle_Pasture_Wet,570,2.756636108,31062,4.492243397,6.8,0.27,180,29.1,6.08,7.83,50
MF-W1,Mature_Forest,1/16/19,Dry,Mature_Forest_Dry,20,1.322219295,5818,3.764848357,6.9,0.27,119,,4.9,0.43,25
MF-W1,Mature_Forest,2/7/19,Dry,Mature_Forest_Dry,0.5,0.176091259,39726,4.59908577,5.2,0.12,61,25,,,
MF-W1,Mature_Forest,2/20/19,Dry,Mature_Forest_Dry,244,2.389166084,39726,4.59908577,8.1,0.11,53,24.8,5.92,3.85,25
MF-W1,Mature_Forest,3/27/19,Dry,Mature_Forest_Dry,126,2.103803721,24066,4.381421958,6.4,0.25,113,26.5,4.64,3.73,
MF-W1,Mature_Forest,4/10/19,Dry,Mature_Forest_Dry,20,1.322219295,5226,3.7182525,5.3,0.08,61,24.7,2.75,0.36,25
MF-W1,Mature_Forest,4/24/19,Dry,Mature_Forest_Dry,126,2.103803721,9768,3.98985011,4.8,0.12,55,25,,0.69,25
MF-W1,Mature_Forest,5/8/19,Dry,Mature_Forest_Dry,0.5,0.176091259,0.5,0.176091259,5.8,0.15,75,26,5.07,4.4,25
MF-W1,Mature_Forest,5/29/19,Wet,Mature_Forest_Wet,20,1.322219295,5510,3.741230411,5.3,0.07,37,25.6,6.45,4.23,25
MF-W1,Mature_Forest,6/12/19,Wet,Mature_Forest_Wet,172,2.238046103,48400,4.684854335,5.3,0.29,127,25.1,5.22,0.01,25
MF-W1,Mature_Forest,6/26/19,Wet,Mature_Forest_Wet,148,2.173186268,13734,4.137828664,6.3,0.6,160,25.2,7.1,4.88,25
MF-W1,Mature_Forest,7/17/19,Wet,Mature_Forest_Wet,498,2.698100546,17328,4.238773502,6.8,0.08,85,25.2,7.2,1.92,25
MF-W1,Mature_Forest,8/14/19,Wet,Mature_Forest_Wet,82,1.919078092,5016,3.700444101,6.8,0.08,63,25.9,6.72,3.13,25
MF-W1,Mature_Forest,9/2/19,Wet,Mature_Forest_Wet,40,1.612783857,34658,4.539816028,,,,,,,
MF-W1,Mature_Forest,9/20/19,Wet,Mature_Forest_Wet,144,2.161368002,25994,4.414889822,7,0.2,83,25.1,6.96,1.72,25
MF-W2,Mature_Forest,1/29/19,Dry,Mature_Forest_Dry,20,1.322219295,48400,4.684854335,6.6,0.19,66,25.1,,6.24,25
MF-W2,Mature_Forest,2/13/19,Dry,Mature_Forest_Dry,82,1.919078092,48400,4.684854335,7.8,0.28,135,23.6,4.82,1.73,
MF-W2,Mature_Forest,2/27/19,Dry,Mature_Forest_Dry,40,1.612783857,20924,4.320665467,7.2,0.28,85,24.5,,12.63,50
MF-W2,Mature_Forest,5/22/19,Wet,Mature_Forest_Wet,20,1.322219295,48400,4.684854335,6.6,0.33,150,24.8,7.3,1.35,25
MF-W2,Mature_Forest,6/18/19,Wet,Mature_Forest_Wet,370,2.56937391,6510,3.813647695,5.1,0.24,140,24.8,7.29,3.02,25
MF-W2,Mature_Forest,7/10/19,Wet,Mature_Forest_Wet,82,1.919078092,48400,4.684854335,6.09,0.1,79,25.9,5.98,2.74,25
MF-W2,Mature_Forest,7/24/19,Wet,Mature_Forest_Wet,104,2.021189299,8704,3.939768775,6.9,0.09,72,23.6,6.76,3.16,25
MF-W2,Mature_Forest,8/23/19,Wet,Mature_Forest_Wet,170,2.23299611,10344,4.014730495,7,0.08,64,25.2,7.8,2.3,50
MF-W2,Mature_Forest,9/9/19,Wet,Mature_Forest_Wet,0.5,0.176091259,260,2.416640507,6.6,0.19,71,26.9,7.48,1.74,25
MF-W3,Mature_Forest,1/28/19,Dry,Mature_Forest_Dry,270,2.432969291,6896,3.838660226,6.8,0.5,125,24,,3.71,25
MF-W3,Mature_Forest,2/11/19,Dry,Mature_Forest_Dry,40,1.612783857,9222,3.964872209,6.8,0.29,75,24.8,6.8,0.43,
MF-W3,Mature_Forest,2/25/19,Dry,Mature_Forest_Dry,0.5,0.176091259,11588,4.064045963,7,0.27,110,24.9,,0.4,
MF-W3,Mature_Forest,3/19/19,Dry,Mature_Forest_Dry,456,2.6599162,4764,3.678062905,6.6,0.34,157,25.9,6.83,2.33,50
MF-W3,Mature_Forest,4/1/19,Dry,Mature_Forest_Dry,82,1.919078092,6260,3.796643704,6.5,0.32,85,25.8,,2.37,25
MF-W3,Mature_Forest,4/15/19,Dry,Mature_Forest_Dry,2238,3.350054094,16328,4.212959589,,0.42,192,26,,1.37,50
MF-W3,Mature_Forest,4/29/19,Dry,Mature_Forest_Dry,346,2.540329475,16328,4.212959589,6.8,0.8,95,25,,1.48,
MF-W3,Mature_Forest,5/20/19,Wet,Mature_Forest_Wet,40,1.612783857,4718,3.673849977,7,0.6,112,24.6,5.95,0.83,25
MF-W3,Mature_Forest,6/3/19,Wet,Mature_Forest_Wet,0.5,0.176091259,82,1.919078092,6.6,0.43,192,25.2,3.55,4.49,50
MF-W3,Mature_Forest,6/17/19,Wet,Mature_Forest_Wet,40,1.612783857,1340,3.127428778,7,0.62,120,25,6.04,1.93,25
MF-W3,Mature_Forest,7/9/19,Wet,Mature_Forest_Wet,0.5,0.176091259,40,1.612783857,7,0.29,192,25.4,5.14,0.01,120
MF-W3,Mature_Forest,7/23/19,Wet,Mature_Forest_Wet,126,2.103803721,9222,3.964872209,6.9,0.26,94,26.7,7.26,3.37,25
MF-W3,Mature_Forest,8/30/19,Wet,Mature_Forest_Wet,852,2.930949031,34658,4.539816028,7.1,0.11,70,24.8,7.87,3.6,25
MF-W3,Mature_Forest,9/11/19,Wet,Mature_Forest_Wet,40,1.612783857,8212,3.914501823,6.8,0.2,36,25.9,7.37,2.63,25
MF-AS,Mature_Forest,11/8/18,Wet,Mature_Forest_Wet,146,2.167317335,22398,4.35022863,6.8,0.19,72,25.7,7.74,2.1,50
