SampleID,Land_Use,Date,Season,Land_Season,Ecoli_MPN,LOG_Ecoli,Coliform_MPN,LOG_Coliform,pH,Conductivity,TDS,Temperature,DissolvedO2,Turbidity,Hardness
MF-AS,Mature_Forest,11/29/18,Wet,Mature_Forest_Wet,40,1.612783857,2878,3.459241665,7.7,0.18,135,25,7.23,12.49,50
MF-AS,Mature_Forest,12/12/18,Wet,Mature_Forest_Wet,220,2.344392274,28272,4.451371893,7.2,0.22,103,24.9,7.37,2.5,25
MF-AS,Mature_Forest,12/13/18,Dry,Mature_Forest_Dry,196,2.294466226,25994,4.414889822,6.7,0.2,72,25.1,,2.35,50
MF-AS,Mature_Forest,1/10/19,Dry,Mature_Forest_Dry,216,2.336459734,22398,4.35022863,7.6,0.21,153,25,,5.16,120
MF-AS,Mature_Forest,1/31/19,Dry,Mature_Forest_Dry,240,2.382017043,9222,3.964872209,7.6,0.23,194,23.4,5.87,0.9,
MF-AS,Mature_Forest,2/14/19,Dry,Mature_Forest_Dry,456,2.6599162,17328,4.238773502,7.3,0.21,152,24.5,,5.15,
MF-AS,Mature_Forest,2/28/19,Dry,Mature_Forest_Dry,292,2.46686762,17328,4.238773502,7,0.22,120,24.3,,5.6,250
MF-AS,Mature_Forest,3/14/19,Dry,Mature_Forest_Dry,218,2.340444115,48392,4.684782546,7,0.22,115,24.5,,3.25,120
MF-AS,Mature_Forest,3/28/19,Dry,Mature_Forest_Dry,104,2.021189299,10344,4.014730495,7.3,0.22,161,24.5,5.77,3.44,250
MF-AS,Mature_Forest,4/11/19,Dry,Mature_Forest_Dry,0.5,0.176091259,12976,4.113174305,7.1,0.18,137,24.4,4.61,1.93,50
MF-AS,Mature_Forest,4/25/19,Dry,Mature_Forest_Dry,62,1.799340549,3300,3.518645524,7.3,0.17,126,24.3,4.52,0.47,120
MF-AS,Mature_Forest,5/9/19,Dry,Mature_Forest_Dry,220,2.344392274,48392,4.684782546,6.5,0.24,150,25.6,4.89,7.7,120
MF-AS,Mature_Forest,5/30/19,Dry,Mature_Forest_Dry,0.5,0.176091259,216,2.336459734,6.5,0.35,170,25.7,4.46,3.1,50
MF-AS,Mature_Forest,6/13/19,Wet,Mature_Forest_Wet,322,2.509202522,20924,4.320665467,5.9,0.35,125,25.2,6.02,1.1,120
MF-AS,Mature_Forest,6/27/19,Wet,Mature_Forest_Wet,370,2.56937391,14540,4.162594274,6.5,0.18,94,25.1,6.57,0.42,50
MF-AS,Mature_Forest,7/12/19,Wet,Mature_Forest_Wet,1976,3.296006669,24066,4.381421958,6.9,0.17,117,25.7,7.51,17.85,50
MF-AS,Mature_Forest,7/25/19,Wet,Mature_Forest_Wet,148,2.173186268,28272,4.451371893,6.9,0.26,195,24.8,8.13,2.55,50
MF-AS,Mature_Forest,8/1/19,Wet,Mature_Forest_Wet,168,2.227886705,48400,4.684854335,6.9,0.17,110,26.1,6.48,0.98,50
MF-AS,Mature_Forest,8/28/19,Wet,Mature_Forest_Wet,240,2.382017043,18416,4.265218888,7.1,0.2,150,28.1,7.12,2.26,120
SF-W3,Secondary_Forest,12/10/18,Dry,Secondary_Forest_Dry,512,2.710117365,22398,4.35022863,7.2,0.25,92,23.3,,9.56,25
SF-W3,Secondary_Forest,12/11/18,Dry,Secondary_Forest_Dry,610,2.78604121,24066,4.381421958,,,,,,,
SF-W3,Secondary_Forest,1/29/19,Dry,Secondary_Forest_Dry,0.5,0.176091259,5848,3.767081621,5.7,0.14,68,24.8,,12.4,25
SF-W3,Secondary_Forest,2/13/19,Dry,Secondary_Forest_Dry,82,1.919078092,12976,4.113174305,7.1,0.44,96,24.2,5.25,1.36,
SF-W3,Secondary_Forest,2/27/19,Dry,Secondary_Forest_Dry,0.5,0.176091259,17328,4.238773502,7,0.32,96,25,,2.04,50
SF-W3,Secondary_Forest,3/18/19,Dry,Secondary_Forest_Dry,0.5,0.176091259,4564,3.659440782,5.4,0.18,63,25.8,4.69,7.62,
SF-W3,Secondary_Forest,4/17/19,Dry,Secondary_Forest_Dry,40,1.612783857,48392,4.684782546,6.1,0.23,109,26.2,,5.99,50
SF-W3,Secondary_Forest,5/21/19,Wet,Secondary_Forest_Wet,60,1.785329835,39726,4.59908577,6.6,0.43,124,24.9,6.2,6.34,50
SF-W3,Secondary_Forest,6/4/19,Wet,Secondary_Forest_Wet,630,2.800029359,24066,4.381421958,5.9,0.2,68,27.3,5.02,9.98,25
SF-W3,Secondary_Forest,6/18/19,Wet,Secondary_Forest_Wet,104,2.021189299,9222,3.964872209,5.4,0.15,72,25.8,6.33,1.05,25
SF-W3,Secondary_Forest,6/25/19,Wet,Secondary_Forest_Wet,170,2.23299611,19608,4.292455447,6.8,0.18,96,26.7,5.4,0.15,25
SF-W3,Secondary_Forest,7/3/19,Wet,Secondary_Forest_Wet,0.5,0.176091259,13734,4.137828664,7,0.08,60,26.2,6.36,1.67,25
SF-W3,Secondary_Forest,7/17/19,Wet,Secondary_Forest_Wet,828,2.918554531,20924,4.320665467,7,0.26,95,25.9,5.45,0.5,50
SF-W3,Secondary_Forest,7/22/19,Wet,Secondary_Forest_Wet,150,2.178976947,3358,3.526210004,6.9,0.16,94,26.3,4.74,0.53,50
SF-W3,Secondary_Forest,8/23/19,Wet,Secondary_Forest_Wet,366,2.564666064,11588,4.064045963,6.8,0.11,88,25.8,7.49,0.96,25
SF-W3,Secondary_Forest,9/5/19,Wet,Secondary_Forest_Wet,0.5,0.176091259,5446,3.736157375,6.2,0.1,78,26,7.51,8.33,25
SF-W1,Secondary_Forest,1/14/19,Dry,Secondary_Forest_Dry,0.5,0.176091259,48400,4.684854335,6.4,0.29,135,,6.93,32.55,25
SF-W1,Secondary_Forest,2/6/19,Dry,Secondary_Forest_Dry,82,1.919078092,25994,4.414889822,5.3,0.13,64,24.7,,3.75,
SF-W1,Secondary_Forest,2/19/19,Dry,Secondary_Forest_Dry,150,2.178976947,8212,3.914501823,7.3,0.15,66,24.8,6.82,1.77,50
SF-W1,Secondary_Forest,3/12/19,Dry,Secondary_Forest_Dry,168,2.227886705,48392,4.684782546,6.2,0.34,88,25,3.56,7.74,25
SF-W1,Secondary_Forest,3/26/19,Dry,Secondary_Forest_Dry,104,2.021189299,4374,3.640978057,6.3,0.36,70,26.2,4.36,2.37,25
SF-W1,Secondary_Forest,4/9/19,Dry,Secondary_Forest_Dry,62,1.799340549,12976,4.113174305,7.5,0.09,73,26.4,7.6,1.5,25
SF-W1,Secondary_Forest,4/23/19,Dry,Secondary_Forest_Dry,0.5,0.176091259,19608,4.292455447,7.1,0.25,85,26,,5.82,50
SF-W1,Secondary_Forest,5/7/19,Dry,Secondary_Forest_Dry,60,1.785329835,19608,4.292455447,7,0.08,65,27.2,4.36,3.48,50
SF-W1,Secondary_Forest,5/27/19,Wet,Secondary_Forest_Wet,916.575,2.962641572,51764.823,4.714043123,7.1,0.1,64,27,4.73,3.13,25
SF-W1,Secondary_Forest,6/11/19,Wet,Secondary_Forest_Wet,82,1.919078092,20924,4.320665467,7,0.16,96,25.9,5.16,1.05,25
SF-W1,Secondary_Forest,6/25/19,Wet,Secondary_Forest_Wet,148,2.173186268,6152,3.789086915,7.3,0.09,90,26,5.36,0.06,25
SF-W1,Secondary_Forest,7/16/19,Wet,Secondary_Forest_Wet,62,1.799340549,31062,4.492243397,7.1,0.18,114,27.2,4.96,7.72,25
SF-W1,Secondary_Forest,8/27/19,Wet,Secondary_Forest_Wet,172,2.238046103,18416,4.265218888,6.4,0.16,60,27,6.42,1.56,25
SF-W1,Secondary_Forest,9/4/19,Wet,Secondary_Forest_Wet,220,2.344392274,19608,4.292455447,6.8,0.16,65,25.9,6.48,2.32,25
SF-W2,Secondary_Forest,1/14/19,Dry,Secondary_Forest_Dry,150,2.178976947,48392,4.684782546,6.6,0.15,70,30.8,,24.71,25
SF-W2,Secondary_Forest,2/5/19,Dry,Secondary_Forest_Dry,146,2.167317335,19608,4.292455447,6.9,0.17,74,24.6,,65.68,
SF-W2,Secondary_Forest,2/18/19,Dry,Secondary_Forest_Dry,238,2.378397901,48400,4.684854335,8.5,0.13,66,25.1,6.63,31.72,25
SF-W2,Secondary_Forest,3/11/19,Dry,Secondary_Forest_Dry,126,2.103803721,48392,4.684782546,7,0.34,148,26.2,6.56,25,15.5
SF-W2,Secondary_Forest,4/8/19,Dry,Secondary_Forest_Dry,1166,3.067070856,8704,3.939768775,6.8,0.22,103,27.2,6.56,38.83,25
SF-W2,Secondary_Forest,4/22/19,Dry,Secondary_Forest_Dry,270,2.432969291,34658,4.539816028,6.4,0.27,135,26.5,,17.7,50
SF-W2,Secondary_Forest,5/6/19,Dry,Secondary_Forest_Dry,82,1.919078092,39726,4.59908577,6.7,0.39,134,25.1,,4.91,50
SF-W2,Secondary_Forest,5/28/19,Wet,Secondary_Forest_Wet,362,2.559906625,48392,4.684782546,6.8,0.2,121,24.5,7.4,10.91,25
SF-W2,Secondary_Forest,6/10/19,Wet,Secondary_Forest_Wet,48400,4.684854335,48400,4.684854335,6.5,0.15,70,24.8,6.8,5.51,25
SF-W2,Secondary_Forest,7/16/19,Wet,Secondary_Forest_Wet,20,1.322219295,39726,4.59908577,6.9,0.25,114,25.9,6.02,6.38,25
SF-W2,Secondary_Forest,7/30/19,Wet,Secondary_Forest_Wet,556,2.745855195,48400,4.684854335,6.9,0.07,56,25.2,7.43,37.56,25
SF-W2,Secondary_Forest,8/14/19,Wet,Secondary_Forest_Wet,62,1.799340549,5178,3.714245911,6.7,0.07,62,26.3,7.42,3.1,25
SF-W2,Secondary_Forest,8/30/19,Wet,Secondary_Forest_Wet,934,2.970811611,31062,4.492243397,7.4,0.1,75,25,6.95,3.55,25
SF-W2,Secondary_Forest,9/10/19,Wet,Secondary_Forest_Wet,242,2.385606274,34658,4.539816028,6.8,0.05,44,26,7.32,24.55,25
SF-AS,Secondary_Forest,11/8/18,Wet,Secondary_Forest_Wet,296,2.472756449,24066,4.381421958,6.9,0.15,62,26,6.95,0.95,25
SF-AS,Secondary_Forest,11/15/18,Wet,Secondary_Forest_Wet,264,2.423245874,6896,3.838660226,7.4,0.09,74,24.9,6.93,1.53,25
SF-AS,Secondary_Forest,11/29/18,Wet,Secondary_Forest_Wet,744,2.872156273,10344,4.014730495,7.6,0.11,85,25.2,,0.46,
SF-AS,Secondary_Forest,12/12/18,Wet,Secondary_Forest_Wet,1024,3.010723865,25994,4.414889822,6.9,0.09,54,25,,0.95,50
SF-AS,Secondary_Forest,1/10/19,Dry,Secondary_Forest_Dry,544,2.736396502,12262,4.088596728,6.9,0.15,80,25.9,,0.87,25
SF-AS,Secondary_Forest,1/31/19,Dry,Secondary_Forest_Dry,82,1.919078092,15402,4.187605315,7.7,0.11,89,23.8,6.87,1.52,
SF-AS,Secondary_Forest,2/14/19,Dry,Secondary_Forest_Dry,82,1.919078092,12262,4.088596728,7.6,0.11,84,24,6.3,2.28,50
SF-AS,Secondary_Forest,2/28/19,Dry,Secondary_Forest_Dry,0.5,0.176091259,14540,4.162594274,7.2,0.21,86,24.2,6.45,2.01,
SF-AS,Secondary_Forest,3/14/19,Dry,Secondary_Forest_Dry,292,2.46686762,31062,4.492243397,7.5,0.14,105,23.8,6.34,1.86,50
SF-AS,Secondary_Forest,3/28/19,Dry,Secondary_Forest_Dry,62,1.799340549,22398,4.35022863,7.1,0.12,90,25,,1.99,
SF-AS,Secondary_Forest,4/11/19,Dry,Secondary_Forest_Dry,512,2.710117365,1616,3.20871002,7.3,0.12,88,24.3,5.63,0.82,120
SF-AS,Secondary_Forest,4/17/19,Dry,Secondary_Forest_Dry,82,1.919078092,6510,3.813647695,6.9,0.09,74,24.5,5.34,1.51,120
SF-AS,Secondary_Forest,5/2/19,Dry,Secondary_Forest_Dry,268,2.42975228,13734,4.137828664,7.3,0.1,75,26.5,3.42,1.44,50
SF-AS,Secondary_Forest,5/9/19,Dry,Secondary_Forest_Dry,3806,3.580582877,48400,4.684854335,6.6,0.15,74,25.7,4.85,1.74,50
SF-AS,Secondary_Forest,5/30/19,Wet,Secondary_Forest_Wet,40,1.612783857,7746,3.889133556,6.8,0.22,110,26.3,3.89,3.59,50
SF-AS,Secondary_Forest,6/13/19,Wet,Secondary_Forest_Wet,194,2.290034611,14540,4.162594274,6.6,0.26,115,25.3,5.29,1.7,120
SF-AS,Secondary_Forest,6/27/19,Wet,Secondary_Forest_Wet,406,2.609594409,10344,4.014730495,6.7,0.11,83,25,5.9,0.93,50
SF-AS,Secondary_Forest,7/12/19,Wet,Secondary_Forest_Wet,196,2.294466226,8704,3.939768775,6.9,0.12,85,26.1,6.23,1.98,50
SF-AS,Secondary_Forest,7/25/19,Wet,Secondary_Forest_Wet,216,2.336459734,11588,4.064045963,7.1,0.1,76,24.9,7.66,1.44,50
SF-AS,Secondary_Forest,8/1/19,Wet,Secondary_Forest_Wet,126,2.103803721,48392,4.684782546,6.8,0.11,88,25.7,7.32,0.26,50
SF-AS,Secondary_Forest,8/28/19,Wet,Secondary_Forest_Wet,162,2.212187604,11588,4.064045963,7.3,0.11,82,27.2,6.58,1.2,50
SP-W4,Silvopasture,1/28/19,Dry,Silvopasture_Dry,240,2.382017043,9768,3.98985011,6.3,0.47,140,25.2,,1.68,25
SP-W4,Silvopasture,2/11/19,Dry,Silvopasture_Dry,264,2.423245874,48400,4.684854335,6.3,0.12,35,25.2,4.75,1.15,
SP-W4,Silvopasture,2/25/19,Dry,Silvopasture_Dry,20,1.322219295,10344,4.014730495,6.9,0.4,118,24.8,,0.53,
SP-W4,Silvopasture,3/19/19,Dry,Silvopasture_Dry,914,2.961421094,6260,3.796643704,6.8,0.27,130,26.4,7.21,9.52,25
SP-W4,Silvopasture,4/3/19,Dry,Silvopasture_Dry,209.979,2.32423923,7489.251,3.874496371,6.2,0.16,79,26.4,,77.17,25
SP-W4,Silvopasture,4/15/19,Dry,Silvopasture_Dry,103.323,2.018380068,11492.184,4.06044036,6.9,0.44,122,27.4,,2.13,25
SP-W4,Silvopasture,4/29/19,Dry,Silvopasture_Dry,172,2.238046103,8212,3.914501823,6.8,0.23,115,25.6,,1.53,
SP-W4,Silvopasture,5/20/19,Wet,Silvopasture_Wet,20,1.322219295,48400,4.684854335,6.5,0.5,225,24.9,6.02,1.03,25
SP-W4,Silvopasture,6/3/19,Wet,Silvopasture_Wet,0.5,0.176091259,672,2.828015064,6.5,0.56,210,26.2,5.94,2.49,50
SP-W4,Silvopasture,6/17/19,Wet,Silvopasture_Wet,0.5,0.176091259,1406,3.148294097,6.7,0.46,160,25.2,6.12,1.5,25
SP-W4,Silvopasture,7/9/19,Wet,Silvopasture_Wet,0.5,0.176091259,676.599,2.830972756,6.9,0.26,175,25.4,5.13,0,120
SP-W4,Silvopasture,7/23/19,Wet,Silvopasture_Wet,148,2.173186268,14540,4.162594274,6.6,0.09,44,26.6,7.64,4.45,25
SP-W4,Silvopasture,8/30/19,Wet,Silvopasture_Wet,242,2.385606274,9222,3.964872209,6.7,0.2,124,25.3,7.26,2.77,25
SP-W4,Silvopasture,9/11/19,Wet,Silvopasture_Wet,316,2.501059262,31062,4.492243397,6.9,0.09,84,26.1,7.22,25.78,25
SP-W1,Silvopasture,1/7/19,Dry,Silvopasture_Dry,82,1.919078092,48400,4.684854335,6.1,0.1,42,31.2,,1.76,25
SP-W1,Silvopasture,2/6/19,Dry,Silvopasture_Dry,196,2.294466226,48400,4.684854335,4.8,0.1,50,25.2,,5.56,
SP-W1,Silvopasture,2/19/19,Dry,Silvopasture_Dry,14505.216,4.16155414,80666.66667,4.906699495,7.6,0.24,70,24.3,3.39,22.5,25
SP-W1,Silvopasture,3/12/19,Dry,Silvopasture_Dry,173.316,2.241337252,66203.379,4.820886716,6.1,0.04,75,25,3.86,22.59,25
SP-W1,Silvopasture,3/26/19,Dry,Silvopasture_Dry,286.638,2.45884626,25667.433,4.409399357,6.5,0.17,80,26.4,4.01,12.96,25
SP-W1,Silvopasture,4/9/19,Dry,Silvopasture_Dry,0.5,0.176091259,80645.268,4.906584275,6.4,0.11,83,27.6,6.32,4.21,25
SP-W1,Silvopasture,4/23/19,Dry,Silvopasture_Dry,246.642,2.393824303,11492.184,4.06044036,5.6,0.25,79,25.1,,20.39,25
SP-W1,Silvopasture,5/7/19,Dry,Silvopasture_Dry,538,2.731588765,28272,4.451371893,5.7,0.07,90,26.7,2.35,14.76,25
SP-W1,Silvopasture,5/27/19,Wet,Silvopasture_Wet,323.301,2.510948288,51764.823,4.714043123,5.5,0.2,96,26.4,4.12,7.43,25
SP-W1,Silvopasture,6/11/19,Wet,Silvopasture_Wet,66.66,1.830331993,28877.112,4.460568796,5.6,0.16,48,27.2,4.12,1.18,25
SP-W1,Silvopasture,6/25/19,Wet,Silvopasture_Wet,173.316,2.241337252,48400,4.684854335,7.2,0.17,74,27.5,7.34,1.65,25
SP-W1,Silvopasture,7/16/19,Wet,Silvopasture_Wet,126,2.103803721,12976,4.113174305,7.1,0.17,78,26,7.31,7.1,25
SP-W1,Silvopasture,8/27/19,Wet,Silvopasture_Wet,82,1.919078092,10344,4.014730495,6,0.04,37,25.9,6.42,2.3,25
SP-W1,Silvopasture,9/4/19,Wet,Silvopasture_Wet,1122,3.050379756,15402,4.187605315,7.1,0.15,75,25.2,7.46,1.35,25
SP-W2,Silvopasture,1/7/19,Dry,Silvopasture_Dry,148,2.173186268,31062,4.492243397,5.7,0.18,66,34,,1.82,25
SP-W2,Silvopasture,2/6/19,Dry,Silvopasture_Dry,0.5,0.176091259,48392,4.684782546,4.5,0.04,26,25.3,,9.89,
SP-W2,Silvopasture,2/19/19,Dry,Silvopasture_Dry,66.66,1.830331993,80666.66667,4.906699495,6.9,0.32,120,25.8,4.84,4.67,25
SP-W2,Silvopasture,3/12/19,Dry,Silvopasture_Dry,136.653,2.138785681,43319.001,4.636688458,6.3,0.09,55,27.4,4.58,59,25
SP-W2,Silvopasture,3/26/19,Dry,Silvopasture_Dry,0.5,0.176091259,57757.557,4.761616335,6.9,0.45,82,26,4.84,8.55,25
SP-W2,Silvopasture,4/9/19,Dry,Silvopasture_Dry,0.5,0.176091259,18248.175,4.261243236,6.6,0.05,62,33.4,7.25,9.15,25
SP-W2,Silvopasture,4/23/19,Dry,Silvopasture_Dry,0.5,0.176091259,15368.463,4.186658694,6.4,0.12,75,27.4,,6.92,50
SP-W2,Silvopasture,5/7/19,Dry,Silvopasture_Dry,1326,3.122870923,48400,4.684854335,5.7,0.08,40,32.2,7.86,24.15,25
SP-W2,Silvopasture,5/27/19,Wet,Silvopasture_Wet,446.622,2.650911423,28877.112,4.460568796,6.3,0.14,67,30.1,4.01,28.06,25
SP-W2,Silvopasture,6/24/19,Wet,Silvopasture_Wet,246.642,2.393824303,28877.112,4.460568796,4.7,0.07,40,29.3,7.51,6.36,25
SP-W2,Silvopasture,8/26/19,Wet,Silvopasture_Wet,292,2.46686762,24066,4.381421958,5.5,0.02,28,26.1,5.31,4.78,25
SP-W2,Silvopasture,9/4/19,Wet,Silvopasture_Wet,8212,3.914501823,1042,3.018284308,7,0.19,84,27.2,5.65,2.5,25
SP-W3,Silvopasture,1/31/19,Dry,Silvopasture_Dry,218,2.340444115,25994,4.414889822,6.4,0.19,90,24.1,,4.26,50
SP-W3,Silvopasture,2/12/19,Dry,Silvopasture_Dry,218,2.340444115,28272,4.451371893,6.2,0.17,81,24.1,6.24,4.21,
SP-W3,Silvopasture,2/26/19,Dry,Silvopasture_Dry,126,2.103803721,39726,4.59908577,7.2,0.28,78,24.7,,2.35,50
SP-W3,Silvopasture,3/18/19,Dry,Silvopasture_Dry,363.297,2.561455595,80645.268,4.906584275,4.6,0.22,103,24.2,5.94,12.3,50
SP-W3,Silvopasture,4/2/19,Dry,Silvopasture_Dry,279.972,2.448663043,16278.372,4.211637647,6.3,0.72,140,25.9,5.2,13.75,50
SP-W3,Silvopasture,4/16/19,Dry,Silvopasture_Dry,2856.381,3.455968153,30690.264,4.487014775,6.3,0.18,98,25.6,,36.2,50
SP-W3,Silvopasture,4/30/19,Dry,Silvopasture_Dry,1114,3.047274867,3046,3.483872454,6.1,0.15,95,26.1,,2.37,50
SP-W3,Silvopasture,5/21/19,Wet,Silvopasture_Wet,646,2.810904281,9768,3.98985011,6.7,0.4,112,25.5,4.78,4.96,120
SP-W3,Silvopasture,6/4/19,Wet,Silvopasture_Wet,290,2.463892989,15402,4.187605315,6.4,0.39,174,28.2,5.96,4.21,25
SP-W3,Silvopasture,7/3/19,Wet,Silvopasture_Wet,776.589,2.890750108,24230.91,4.384387647,6.9,0.24,136,25.4,4.45,0.99,50
SP-W3,Silvopasture,7/22/19,Wet,Silvopasture_Wet,240,2.382017043,25994,4.414889822,6.9,0.28,74,26.4,4.96,0.2,50
SP-W3,Silvopasture,8/26/19,Wet,Silvopasture_Wet,104,2.021189299,20924,4.320665467,5.9,0.07,70,26.3,4.86,5.71,25
SP-W3,Silvopasture,9/3/19,Wet,Silvopasture_Wet,1626,3.211387553,48392,4.684782546,6.5,0.1,72,27.1,6.41,5.34,50
SP-AS,Silvopasture,11/8/18,Wet,Silvopasture_Wet,682,2.834420704,34658,4.539816028,7.1,0.22,75,25,6.65,1.5,50
SP-AS,Silvopasture,11/15/18,Wet,Silvopasture_Wet,1210,3.083144143,22398,4.35022863,7.2,0.09,69,25.1,6.57,3.7,50
SP-AS,Silvopasture,11/29/18,Wet,Silvopasture_Wet,296,2.472756449,8704,3.939768775,7.4,0.09,72,24.9,,1.75,
SP-AS,Silvopasture,12/12/18,Wet,Silvopasture_Wet,610,2.78604121,19608,4.292455447,7.2,0.12,50,25.3,,1,
SP-AS,Silvopasture,1/10/19,Dry,Silvopasture_Dry,498,2.698100546,22398,4.35022863,7.1,0.2,99,26,,1.25,25
SP-AS,Silvopasture,1/31/19,Dry,Silvopasture_Dry,346,2.540329475,31062,4.492243397,7.2,0.09,75,24,5.74,2.5,25
SP-AS,Silvopasture,2/14/19,Dry,Silvopasture_Dry,1542,3.188365926,22398,4.35022863,7.2,0.1,80,24.3,4.79,2.02,
SP-AS,Silvopasture,2/28/19,Dry,Silvopasture_Dry,148,2.173186268,15402,4.187605315,7,0.19,95,24.4,4.51,4.37,25
SP-AS,Silvopasture,3/14/19,Dry,Silvopasture_Dry,270,2.432969291,48392,4.684782546,7.5,0.12,93,24,3.88,1.73,50
SP-AS,Silvopasture,3/28/19,Dry,Silvopasture_Dry,654,2.8162413,31062,4.492243397,6.7,0.1,87,25,,2.07,
SP-AS,Silvopasture,4/11/19,Dry,Silvopasture_Dry,630,2.800029359,14540,4.162594274,6.8,0.2,97,24,3.58,1.42,50
SP-AS,Silvopasture,4/17/19,Dry,Silvopasture_Dry,104,2.021189299,13734,4.137828664,6.5,0.08,65,25.6,2.09,2.33,50
SP-AS,Silvopasture,5/2/19,Dry,Silvopasture_Dry,20,1.322219295,40,1.612783857,6.9,0.08,66,26.7,1.9,1.25,50
SP-AS,Silvopasture,5/9/19,Dry,Silvopasture_Dry,3570,3.55278985,48400,4.684854335,6.4,0.15,70,24.9,3.79,3.86,50
SP-AS,Silvopasture,5/30/19,Dry,Silvopasture_Dry,168,2.227886705,15402,4.187605315,6.6,0.2,103,26.6,4.48,3.8,50
SP-AS,Silvopasture,6/13/19,Wet,Silvopasture_Wet,558,2.747411808,10344,4.014730495,6.6,0.13,68,24.9,4.96,0.5,50
SP-AS,Silvopasture,6/27/19,Wet,Silvopasture_Wet,126,2.103803721,19608,4.292455447,6.9,0.18,75,25.3,6.02,0.38,50
SP-AS,Silvopasture,7/12/19,Wet,Silvopasture_Wet,374,2.574031268,24066,4.381421958,7,0.18,97,26.5,6.03,0.85,50
SP-AS,Silvopasture,7/25/19,Wet,Silvopasture_Wet,244,2.389166084,18416,4.265218888,7,0.14,88,24.9,7.58,0.4,50
SP-AS,Silvopasture,8/1/19,Wet,Silvopasture_Wet,104,2.021189299,48400,4.684854335,7.1,0.1,77,27,6.16,1,50
SP-AS,Silvopasture,8/28/19,Wet,Silvopasture_Wet,60,1.785329835,28272,4.451371893,7.1,0.09,68,26.5,6.13,,50